name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID
"Hinterland Sanctifier",1,"Creature - Rabbit Cleric",W,"fdn","730",common,White,Not Owned,,false,,,"","",134902
"Leonin Vanguard",1,"Creature - Cat Soldier",W,"fdn","499",uncommon,White,Not Owned,,false,,,"","",134770
"Lunarch Veteran",1,"Creature - Human Cleric",W,"inr","32",common,White,Not Owned,,false,,,"","",135424
"Savannah Lions",1,"Creature - Cat",W,"fdn","146",uncommon,White,Not Owned,,false,,,"","",133318
"Savannah Lions",1,"Creature - Cat",W,"fdn","146",uncommon,White,Not Owned,,false,,,"","",133318
"Thraben Inspector",1,"Creature - Human Soldier",W,"inr","45",common,White,Not Owned,,false,,,"","",135452
"Ajani's Pridemate",2,"Creature - Cat Soldier",W,"fdn","135",uncommon,White,Not Owned,,false,,,"","",133296
"Ambitious Farmhand",2,"Creature - Human Peasant",W,"inr","8",uncommon,White,Not Owned,,false,,,"","",135370
"Bishop's Soldier",2,"Creature - Vampire Soldier",W,"fdn","491",common,White,Not Owned,,false,,,"","",134754
"Candlegrove Witch",2,"Creature - Human Warlock",W,"mid","287",common,White,Not Owned,,false,,,"","",
"Cathar Commando",2,"Creature - Human Soldier",W,"inr","15",common,White,Not Owned,,false,,,"","",135388
"Guardian of Pilgrims",2,"Creature - Spirit Cleric",W,"inr","26",common,White,Not Owned,,false,,,"","",135412
"Helpful Hunter",2,"Creature - Cat",W,"fdn","16",common,White,Not Owned,,false,,,"","",133600
"Leonin Skyhunter",2,"Creature - Cat Knight",W,"fdn","498",uncommon,White,Not Owned,,false,,,"","",134768
"Resolute Reinforcements",2,"Creature - Human Soldier",W,"fdn","145",uncommon,White,Not Owned,,false,,,"","",133316
"Cat Collector",3,"Creature - Human Citizen",W,"fdn","4",uncommon,White,Not Owned,,false,,,"","",133576
"Celestus Sanctifier",3,"Creature - Human Cleric",W,"mid","12",common,White,Not Owned,,false,,,"","",92946
"Crusader of Odric",3,"Creature - Human Soldier",W,"inr","338",common,White,Not Owned,,false,,,"","",134962
"Dazzling Angel",3,"Creature - Angel",W,"fdn","9",common,White,Not Owned,,false,,,"","",133586
"Dazzling Angel",3,"Creature - Angel",W,"fdn","9",common,White,Not Owned,,false,,,"","",133586
"Fiend Hunter",3,"Creature - Human Cleric",W,"inr","340",uncommon,White,Not Owned,,false,,,"","",134966
"Inspiring Overseer",3,"Creature - Angel Cleric",W,"fdn","496",common,White,Not Owned,,false,,,"","",134764
"Inspiring Paladin",3,"Creature - Human Knight",W,"fdn","18",common,White,Not Owned,,false,,,"","",133604
"Prideful Parent",3,"Creature - Cat",W,"fdn","21",common,White,Not Owned,,false,,,"","",133610
"Apothecary Geist",4,"Creature - Spirit",W,"inr","10",common,White,Not Owned,,false,,,"","",135376
"Felidar Savior",4,"Creature - Cat Beast",W,"fdn","12",common,White,Not Owned,,false,,,"","",133592
"Inspiring Captain",4,"Creature - Human Knight",W,"inr","28",common,White,Not Owned,,false,,,"","",135416
"Slayer of the Wicked",4,"Creature - Human Soldier",W,"inr","348",uncommon,White,Not Owned,,false,,,"","",134982
"Twinblade Paladin",4,"Creature - Human Knight",W,"fdn","503",uncommon,White,Not Owned,,false,,,"","",134778
"Vanguard Seraph",4,"Creature - Angel Warrior",W,"fdn","28",common,White,Not Owned,,false,,,"","",133624
"Armasaur Guide",5,"Creature - Dinosaur",W,"fdn","3",common,White,Not Owned,,false,,,"","",133574
"Herald of Faith",5,"Creature - Angel",W,"fdn","494",uncommon,White,Not Owned,,false,,,"","",134760
"Ingenious Leonin",5,"Creature - Cat Soldier",W,"fdn","495",uncommon,White,Not Owned,,false,,,"","",134762
"Soul-Guide Gryff",5,"Creature - Hippogriff Spirit",W,"inr","40",common,White,Not Owned,,false,,,"","",135442
"Blessed Defiance",1,"Instant",W,"mid","5",common,White,Not Owned,,false,,,"","",92930
"Elspeth's Smite",1,"Instant",W,"fdn","493",uncommon,White,Not Owned,,false,,,"","",134758
"Moment of Triumph",1,"Instant",W,"fdn","500",common,White,Not Owned,,false,,,"","",134772
"Strength of Arms",1,"Instant",W,"inr","42",common,White,Not Owned,,false,,,"","",135446
"Adamant Will",2,"Instant",W,"fdn","488",common,White,Not Owned,,false,,,"","",134748
"Deadly Riposte",2,"Instant",W,"fdn","492",common,White,Not Owned,,false,,,"","",134756
"Flare of Faith",2,"Instant",W,"mid","19",common,White,Not Owned,,false,,,"","",92964
"Valorous Stance",2,"Instant",W,"inr","48",uncommon,White,Not Owned,,false,,,"","",135462
"Make Your Move",3,"Instant",W,"fdn","143",common,White,Not Owned,,false,,,"","",133312
"Gather the Townsfolk",2,"Sorcery",W,"inr","23",common,White,Not Owned,,false,,,"","",135404
"Angelic Edict",5,"Sorcery",W,"fdn","490",common,White,Not Owned,,false,,,"","",134752
"Hedgewitch's Mask",1,"Artifact - Equipment",W,"mid","23",common,White,Not Owned,,false,,,"","",92972
"Gryff's Boon",1,"Enchantment - Aura",W,"inr","342",uncommon,White,Not Owned,,false,,,"","",134970
"Lunarch Mantle",2,"Enchantment - Aura",W,"inr","31",common,White,Not Owned,,false,,,"","",135422
"Pacifism",2,"Enchantment - Aura",W,"fdn","501",common,White,Not Owned,,false,,,"","",134774
"Banishing Light",3,"Enchantment",W,"fdn","138",common,White,Not Owned,,false,,,"","",133302
"Bound by Moonsilver",3,"Enchantment - Aura",W,"inr","13",common,White,Not Owned,,false,,,"","",135384
"Twinblade Blessing",3,"Enchantment - Aura",W,"fdn","26",uncommon,White,Not Owned,,false,,,"","",133620
"Twinblade Blessing",3,"Enchantment - Aura",W,"fdn","26",uncommon,White,Not Owned,,false,,,"","",133620
"Faith Unbroken",4,"Enchantment - Aura",W,"inr","21",uncommon,White,Not Owned,,false,,,"","",135400
"Prayer of Binding",4,"Enchantment",W,"fdn","502",uncommon,White,Not Owned,,false,,,"","",134776
"Cobbled Lancer",1,"Creature - Zombie Horse",U,"inr","56",uncommon,Blue,Not Owned,,false,,,"","",135484
"Delver of Secrets",1,"Creature - Human Wizard",U,"inr","60",common,Blue,Not Owned,,false,,,"","",135494
"Lantern Bearer",1,"Creature - Spirit",U,"inr","72",common,Blue,Not Owned,,false,,,"","",135524
"Spectral Sailor",1,"Creature - Spirit Pirate",U,"fdn","164",uncommon,Blue,Not Owned,,false,,,"","",133354
"Brineborn Cutthroat",2,"Creature - Merfolk Pirate",U,"fdn","152",uncommon,Blue,Not Owned,,false,,,"","",133330
"Burrog Befuddler",2,"Creature - Frog Wizard",U,"fdn","504",common,Blue,Not Owned,,false,,,"","",134780
"Kitesail Corsair",2,"Creature - Human Pirate",U,"fdn","510",common,Blue,Not Owned,,false,,,"","",134792
"Mischievous Mystic",2,"Creature - Human Wizard",U,"fdn","47",uncommon,Blue,Not Owned,,false,,,"","",133662
"Shipwreck Sifters",2,"Creature - Spirit",U,"mid","74",common,Blue,Not Owned,,false,,,"","",93094
"Unblinking Observer",2,"Creature - Homunculus",U,"mid","82",common,Blue,Not Owned,,false,,,"","",93112
"Wretched Throng",2,"Creature - Zombie Horror",U,"inr","94",common,Blue,Not Owned,,false,,,"","",135574
"Wretched Throng",2,"Creature - Zombie Horror",U,"inr","94",common,Blue,Not Owned,,false,,,"","",135574
"Biolume Egg",3,"Creature - Serpent Egg",U,"inr","54",uncommon,Blue,Not Owned,,false,,,"","",135478
"Component Collector",3,"Creature - Homunculus",U,"mid","43",common,Blue,Not Owned,,false,,,"","",93018
"Erudite Wizard",3,"Creature - Human Wizard",U,"fdn","37",common,Blue,Not Owned,,false,,,"","",133642
"Exclusion Mage",3,"Creature - Human Wizard",U,"fdn","508",uncommon,Blue,Not Owned,,false,,,"","",134788
"Falcon Abomination",3,"Creature - Zombie Bird",U,"mid","52",common,Blue,Not Owned,,false,,,"","",93040
"Grizzled Angler",3,"Creature - Human",U,"inr","67",uncommon,Blue,Not Owned,,false,,,"","",135512
"Laboratory Maniac",3,"Creature - Human Wizard",U,"inr","304",uncommon,Blue,Not Owned,,false,,,"","",135320
"Nebelgast Herald",3,"Creature - Spirit",U,"inr","78",uncommon,Blue,Not Owned,,false,,,"","",135538
"Reckless Scholar",3,"Creature - Human Wizard",U,"inr","81",common,Blue,Not Owned,,false,,,"","",135544
"Storm Fleet Spy",3,"Creature - Human Pirate",U,"fdn","515",uncommon,Blue,Not Owned,,false,,,"","",134802
"Bigfin Bouncer",4,"Creature - Shark Pirate",U,"fdn","31",common,Blue,Not Owned,,false,,,"","",133630
"Clinquant Skymage",4,"Creature - Bird Wizard",U,"fdn","33",uncommon,Blue,Not Owned,,false,,,"","",133634
"Galedrifter",4,"Creature - Hippogriff",U,"mid","55",common,Blue,Not Owned,,false,,,"","",93046
"Makeshift Mauler",4,"Creature - Zombie Horror",U,"inr","73",common,Blue,Not Owned,,false,,,"","",135528
"Organ Hoarder",4,"Creature - Zombie",U,"mid","66",common,Blue,Not Owned,,false,,,"","",93074
"Tower Geist",4,"Creature - Spirit",U,"inr","93",common,Blue,Not Owned,,false,,,"","",135572
"Battleground Geist",5,"Creature - Spirit",U,"inr","53",common,Blue,Not Owned,,false,,,"","",135476
"Drownyard Amalgam",5,"Creature - Zombie Horror",U,"mid","50",common,Blue,Not Owned,,false,,,"","",93036
"Icewind Elemental",5,"Creature - Elemental",U,"fdn","42",common,Blue,Not Owned,,false,,,"","",133652
"Skyship Buccaneer",5,"Creature - Human Pirate",U,"fdn","50",uncommon,Blue,Not Owned,,false,,,"","",133668
"Grappling Kraken",6,"Creature - Kraken",U,"fdn","39",uncommon,Blue,Not Owned,,false,,,"","",133646
"Tolarian Terror",7,"Creature - Serpent",U,"fdn","167",common,Blue,Not Owned,,false,,,"","",133360
"Tolarian Terror",7,"Creature - Serpent",U,"fdn","167",common,Blue,Not Owned,,false,,,"","",133360
"Wretched Gryff",7,"Creature - Eldrazi Hippogriff",,"inr","332",common,Blue,Not Owned,,false,,,"","",134950
"Wretched Gryff",7,"Creature - Eldrazi Hippogriff",,"inr","332",common,Blue,Not Owned,,false,,,"","",134950
"Essence Flux",1,"Instant",U,"inr","354",common,Blue,Not Owned,,false,,,"","",134994
"Fleeting Distraction",1,"Instant",U,"fdn","155",common,Blue,Not Owned,,false,,,"","",133336
"Opt",1,"Instant",U,"fdn","512",common,Blue,Not Owned,,false,,,"","",134796
"Secrets of the Key",1,"Instant",U,"mid","73",common,Blue,Not Owned,,false,,,"","",93092
"Secrets of the Key",1,"Instant",U,"mid","73",common,Blue,Not Owned,,false,,,"","",93092
"Syncopate",1,"Instant",U,"inr","89",common,Blue,Not Owned,,false,,,"","",135562
"Essence Scatter",2,"Instant",U,"fdn","153",uncommon,Blue,Not Owned,,false,,,"","",133332
"Into the Roil",2,"Instant",U,"fdn","509",common,Blue,Not Owned,,false,,,"","",134790
"Startle",2,"Instant",U,"mid","78",common,Blue,Not Owned,,false,,,"","",93102
"Think Twice",2,"Instant",U,"fdn","315",common,Blue,Not Owned,,false,,,"","",133164
"Cancel",3,"Instant",U,"fdn","505",common,Blue,Not Owned,,false,,,"","",134782
"Flip the Switch",3,"Instant",U,"mid","54",common,Blue,Not Owned,,false,,,"","",93044
"Quick Study",3,"Instant",U,"fdn","513",common,Blue,Not Owned,,false,,,"","",134798
"Revenge of the Drowned",4,"Instant",U,"mid","72",common,Blue,Not Owned,,false,,,"","",93090
"Uncharted Voyage",4,"Instant",U,"fdn","53",common,Blue,Not Owned,,false,,,"","",133674
"Arcane Epiphany",5,"Instant",U,"fdn","29",uncommon,Blue,Not Owned,,false,,,"","",133626
"Silent Departure",1,"Sorcery",U,"inr","367",common,Blue,Not Owned,,false,,,"","",135020
"Rise from the Tides",6,"Sorcery",U,"inr","366",uncommon,Blue,Not Owned,,false,,,"","",135018
"Soulcipher Board",2,"Artifact",U,"inr","459",uncommon,Blue,Not Owned,,false,,,"","",135238
"Eaten by Piranhas",2,"Enchantment - Aura",U,"fdn","507",uncommon,Blue,Not Owned,,false,,,"","",134786
"Imprisoned in the Moon",3,"Enchantment - Aura",U,"inr","69",common,Blue,Not Owned,,false,,,"","",135518
"Starlight Snare",3,"Enchantment - Aura",U,"fdn","514",common,Blue,Not Owned,,false,,,"","",134800
"Diregraf Ghoul",1,"Creature - Zombie",B,"fdn","171",uncommon,Black,Not Owned,,false,,,"","",133368
"Ecstatic Awakener",1,"Creature - Human Wizard",B,"inr","107",common,Black,Not Owned,,false,,,"","",135604
"Indulgent Aristocrat",1,"Creature - Vampire Noble",B,"inr","118",uncommon,Black,Not Owned,,false,,,"","",135630
"Indulgent Aristocrat",1,"Creature - Vampire Noble",B,"inr","118",uncommon,Black,Not Owned,,false,,,"","",135630
"Infestation Sage",1,"Creature - Elf Warlock",B,"fdn","64",common,Black,Not Owned,,false,,,"","",133696
"Vampire Neonate",1,"Creature - Vampire",B,"fdn","531",common,Black,Not Owned,,false,,,"","",134834
"Butcher Ghoul",2,"Creature - Zombie",B,"inr","373",common,Black,Not Owned,,false,,,"","",135032
"Graf Rats",2,"Creature - Rat",B,"inr","113",uncommon,Black,Not Owned,,false,,,"","",135618
"Hungry Ghoul",2,"Creature - Zombie",B,"fdn","62",common,Black,Not Owned,,false,,,"","",133692
"Olivia's Dragoon",2,"Creature - Vampire Berserker",B,"inr","127",common,Black,Not Owned,,false,,,"","",135650
"Reassembling Skeleton",2,"Creature - Skeleton Warrior",B,"fdn","182",uncommon,Black,Not Owned,,false,,,"","",133390
"Restless Bloodseeker",2,"Creature - Vampire",B,"inr","128",uncommon,Black,Not Owned,,false,,,"","",135652
"Sanguine Syphoner",2,"Creature - Vampire Warlock",B,"fdn","68",common,Black,Not Owned,,false,,,"","",133704
"Siege Zombie",2,"Creature - Zombie",B,"inr","131",common,Black,Not Owned,,false,,,"","",135660
"Vampire Interloper",2,"Creature - Vampire Scout",B,"fdn","530",common,Black,Not Owned,,false,,,"","",134832
"Vengeful Bloodwitch",2,"Creature - Vampire Warlock",B,"fdn","76",uncommon,Black,Not Owned,,false,,,"","",133720
"Arrogant Outlaw",3,"Creature - Vampire Noble",B,"mid","84",common,Black,Not Owned,,false,,,"","",93116
"Crow of Dark Tidings",3,"Creature - Zombie Bird",B,"fdn","519",common,Black,Not Owned,,false,,,"","",134810
"Demonic Taskmaster",3,"Creature - Demon",B,"inr","377",uncommon,Black,Not Owned,,false,,,"","",135040
"Desperate Farmer",3,"Creature - Human Peasant",B,"inr","105",common,Black,Not Owned,,false,,,"","",135598
"Falkenrath Torturer",3,"Creature - Vampire",B,"inr","109",common,Black,Not Owned,,false,,,"","",135610
"Morbid Opportunist",3,"Creature - Human Rogue",B,"inr","124",uncommon,Black,Not Owned,,false,,,"","",135644
"Shady Traveler",3,"Creature - Human Werewolf",B,"mid","120",common,Black,Not Owned,,false,,,"","",93202
"Stromkirk Bloodthief",3,"Creature - Vampire Rogue",B,"fdn","185",uncommon,Black,Not Owned,,false,,,"","",133396
"Vampire Spawn",3,"Creature - Vampire",B,"fdn","532",common,Black,Not Owned,,false,,,"","",134836
"Bat Whisperer",4,"Creature - Vampire",B,"mid","86",common,Black,Not Owned,,false,,,"","",93122
"Billowing Shriekmass",4,"Creature - Spirit",B,"fdn","56",uncommon,Black,Not Owned,,false,,,"","",133680
"Crypt Feaster",4,"Creature - Zombie",B,"fdn","59",common,Black,Not Owned,,false,,,"","",133686
"Haunted Dead",4,"Creature - Zombie",B,"inr","116",uncommon,Black,Not Owned,,false,,,"","",135626
"Highborn Vampire",4,"Creature - Vampire Warrior",B,"fdn","522",common,Black,Not Owned,,false,,,"","",134816
"Skeleton Archer",4,"Creature - Skeleton Archer",B,"fdn","526",common,Black,Not Owned,,false,,,"","",134824
"Suspicious Shambler",4,"Creature - Zombie",B,"fdn","527",common,Black,Not Owned,,false,,,"","",134826
"Bloodtithe Collector",5,"Creature - Vampire Noble",B,"fdn","516",uncommon,Black,Not Owned,,false,,,"","",134804
"Midnight Scavengers",5,"Creature - Human Rogue",B,"inr","123",common,Black,Not Owned,,false,,,"","",135642
"Tragic Banshee",5,"Creature - Spirit",B,"fdn","73",uncommon,Black,Not Owned,,false,,,"","",133714
"Abundant Maw",8,"Creature - Eldrazi Leech",,"inr","329",common,Black,Not Owned,,false,,,"","",134944
"Village Rites",1,"Instant",B,"inr","137",common,Black,Not Owned,,false,,,"","",135672
"Bladebrand",2,"Instant",B,"mid","87",common,Black,Not Owned,,false,,,"","",93124
"Moment of Craving",2,"Instant",B,"fdn","524",common,Black,Not Owned,,false,,,"","",134820
"Offer Immortality",2,"Instant",B,"fdn","525",common,Black,Not Owned,,false,,,"","",134822
"Blood Pact",3,"Instant",B,"mid","88",common,Black,Not Owned,,false,,,"","",93126
"Hero's Downfall",3,"Instant",B,"fdn","319",uncommon,Black,Not Owned,,false,,,"","",133172
"Deadly Plot",4,"Instant",B,"fdn","520",uncommon,Black,Not Owned,,false,,,"","",134812
"Crawl from the Cellar",1,"Sorcery",B,"inr","376",common,Black,Not Owned,,false,,,"","",135038
"Crawl from the Cellar",1,"Sorcery",B,"inr","376",common,Black,Not Owned,,false,,,"","",135038
"Crawl from the Cellar",1,"Sorcery",B,"inr","376",common,Black,Not Owned,,false,,,"","",135038
"Eaten Alive",1,"Sorcery",B,"inr","106",common,Black,Not Owned,,false,,,"","",135602
"Eaten Alive",1,"Sorcery",B,"inr","106",common,Black,Not Owned,,false,,,"","",135602
"Killing Wave",1,"Sorcery",B,"inr","386",uncommon,Black,Not Owned,,false,,,"","",135058
"Cemetery Recruitment",2,"Sorcery",B,"fdn","517",common,Black,Not Owned,,false,,,"","",134806
"Murderous Compulsion",2,"Sorcery",B,"inr","126",common,Black,Not Owned,,false,,,"","",135648
"Murderous Compulsion",2,"Sorcery",B,"inr","126",common,Black,Not Owned,,false,,,"","",135648
"No Way Out",3,"Sorcery",B,"mid","116",common,Black,Not Owned,,false,,,"","",93194
"Gisa's Bidding",4,"Sorcery",B,"inr","111",common,Black,Not Owned,,false,,,"","",135614
"Gisa's Bidding",4,"Sorcery",B,"inr","111",common,Black,Not Owned,,false,,,"","",135614
"Gisa's Bidding",4,"Sorcery",B,"inr","111",common,Black,Not Owned,,false,,,"","",135614
"Vampiric Rites",1,"Enchantment",B,"fdn","615",uncommon,Black,Not Owned,,false,,,"","",134566
"Untamed Hunger",3,"Enchantment - Aura",B,"fdn","529",common,Black,Not Owned,,false,,,"","",134830
"Triskaidekaphobia",4,"Enchantment",B,"inr","391",uncommon,Black,Not Owned,,false,,,"","",135068
"Frenzied Goblin",1,"Creature - Goblin Berserker",R,"fdn","199",uncommon,Red,Not Owned,,false,,,"","",133424
"Frenzied Goblin",1,"Creature - Goblin Berserker",R,"fdn","199",uncommon,Red,Not Owned,,false,,,"","",133424
"Voldaren Stinger",1,"Creature - Vampire Warrior",R,"mid","167",common,Red,Not Owned,,false,,,"","",93316
"Axgard Cavalry",2,"Creature - Dwarf Berserker",R,"fdn","189",common,Red,Not Owned,,false,,,"","",133404
"Blood Petal Celebrant",2,"Creature - Vampire",R,"inr","144",common,Red,Not Owned,,false,,,"","",135688
"Blood Petal Celebrant",2,"Creature - Vampire",R,"inr","144",common,Red,Not Owned,,false,,,"","",135688
"Dragonlord's Servant",2,"Creature - Goblin Shaman",R,"fdn","536",uncommon,Red,Not Owned,,false,,,"","",134844
"Falkenrath Perforator",2,"Creature - Vampire",R,"mid","136",common,Red,Not Owned,,false,,,"","",93238
"Festival Crasher",2,"Creature - Devil",R,"inr","153",common,Red,Not Owned,,false,,,"","",135708
"Festival Crasher",2,"Creature - Devil",R,"inr","153",common,Red,Not Owned,,false,,,"","",135708
"Firebrand Archer",2,"Creature - Human Archer",R,"fdn","196",common,Red,Not Owned,,false,,,"","",133418
